TIDM,Name,Industry,Subsector,Price,Graham number / Close,1y ago Graham number / Close  1y ago,EV / EBIT,1y ago EV / EBIT,EV / EBIT 5y av.,fc PE,PE,1y ago PE,PE 5y av.,PE 10y av.,PEG,1y ago PEG,Price to NAV,1y ago price to NAV,Yield,Dividend Cover,Broker consensus,Previous consensus,EBIT (m),Dir holdings 3m change %,City holdings 3m change %,Net debt to EBITDA,% Total Return 1y,EV / Free cash flow,Beta 1y daily (vs. UKX) TTM,
CORA,Cora Gold Ltd,Basic Materials,Gold Mining,£0.0245,,,,,,,,,,,,,0.4,1.4,,,No Opinion,No Opinion,-0.1,0.0000,0.0000,,-48.4,-2.3,0.08,
CRU,Coral Products PLC,Industrials,Containers and Packaging,£0.1495,1.9662,1.5103,9.7,6.0,,,6.0,11.1,11.1,8.3,,0.1,1.0,1.0,7.1,2.4,No Opinion,Buy,2.2,-0.0498,1.3677,1.8,11.8,-4.6,-0.05,
CRCL,Corcel PLC,Basic Materials,General Mining,£0.0044,,,,,,,,,,,,,0.6,1.2,,,,,-1.4,0.0000,-0.7136,,35.4,-6.2,0.15,
CRDL,Cordel Group PLC,Technology,Software,£0.05625,,,,,,,,,,,,,3.6,5.6,,,No Opinion,No Opinion,-1.2,-0.5742,0.0000,,-22.4,-8.9,-0.39,
CORD,Cordiant Digital Infrastructure Ltd,Financials,Asset Managers and Custodians,£0.737,2.1807,0,,,,5.4,7.1,8.7,,,0.2,,0.7,,5.3,2.6,Outperform,Buy,0.0,0.0104,0.0000,,-11.5,-140.6,0.28,
CSRD,Cordiant Digital Infrastructure Ltd,,,£0.04,,,,,,,,,,,,,,,,,,,,,,,-33.3,,-0.06,
CNS,Corero Network Security PLC,Technology,Software,£0.07025,0.3764,0.32352,56.0,66.0,,,85.2,84.5,,,,,2.7,5.3,,,Buy,Buy,0.7,0.0000,0.0000,-2.6,-38.9,-9.3,0.43,
CSFS,Cornerstone Fs PLC,Industrials,Transaction Processing Services,£0.1775,0.5923,,,,,,,,,,,,-89.4,22.7,,,Buy,Buy,-5.1,0.0000,6.9666,,137,-8.3,0.31,
CUSN,Cornish Metals Inc,Basic Materials,General Mining,£0.1125,,,,,,,,,,,,,1.1,5.8,,,,,-3.0,0.0000,-1.4869,,-39.2,-2.9,0.88,
CORO,Coro Energy PLC,Energy,Oil - Crude Producers,£0.0027,6.1793,5.2649,,,,,,,,,,,-1.1,-1.7,,,Buy,Buy,-4.6,-3.2656,0.0000,,1.89,-13.4,-0.11,
COST,Costain Group PLC,Industrials,Professional Business Support Services,£0.575,2.2638,2.9892,1.6,,,5.3,5.8,5.6,8.6,10.5,0.7,1.8,0.8,0.7,,,Buy,Outperform,36.7,0.0181,0.0000,-2.1,39.7,11.5,0.34,
CPP,CPP Group PLC,Industrials,Professional Business Support Services,£1.325,1.4286,,0.1,4.9,21.2,,10.0,,,,,,0.9,2.3,,,Buy,Buy,3.0,0.0000,0.0000,-2.0,0.76,2.7,-0.05,
CYN,CQS Natural Resources Growth & Income PLC,Financials,Closed End Investments,£1.7825,2.2124,3.1266,,,,,5.1,2.0,,,,,0.9,0.9,3.1,6.3,,,0.0,0.0000,-0.3737,,5.27,62.2,0.80,
NCYF,CQS New City High Yield Fund Ltd,Financials,Closed End Investments,£0.4835,0.52224,0.60175,,,,,81.5,56.9,,,,,1.1,1.0,9.2,0.1,,,0.0,-0.0026,0.0000,,-1.05,-205.6,0.27,
CRW,Craneware PLC,Financials,Financial Data Providers,£14.90,0.89955,0.69243,37.3,42.8,35.0,20.6,21.0,25.4,32.3,32.1,>10,,1.9,2.4,1.9,2.4,Buy,Buy,17.4,0.1642,0.0000,0.1,-22.9,8.7,0.57,
CWK,Cranswick PLC,Consumer Staples,Food Products,£35.08,0.77136,0.94007,13.4,14.8,16.2,16.5,16.8,17.2,19.0,18.6,7.0,7.0,2.2,2.4,2.2,2.6,Buy,Buy,149.0,0.0772,-3.9758,0.5,30.7,41.9,0.67,
CRV,Craven House Capital PLC,Financials,Diversified Financial Services,$0.145,,,,,,,,,,,,,0.1,0.6,,,,,-0.2,0.0000,0.0000,,-35.6,-2.9,-0.78,
CRL,Creightons PLC,Consumer Discretionary,Household Equipment and Products,£0.31,0.91312,1.5729,16.9,11.4,10.3,,28.2,12.9,14.3,11.6,,,0.8,1.6,,,,,1.6,0.6807,0.0001,1.8,-17.3,6.4,0.30,
CREO,Creo Medical Group PLC,Health Care,Medical Equipment,£0.305,,,,,,,,,,,,,1.2,3.8,,,Buy,Buy,-30.7,-0.1394,0.0000,,-46,-3.7,0.13,
CRST,Crest Nicholson Holdings Ltd,Consumer Discretionary,Home Construction,£1.752,3.1003,2.7751,4.4,6.7,10.4,12.4,4.4,10.5,6.3,8.0,,0.4,0.5,1.0,9.2,2.5,Outperform,Outperform,45.6,0.0000,10.0602,-5.7,3.28,3.9,1.45,
CRH,CRH PLC,Industrials,Building Materials - Other,£46.00,1.0453,1.4388,11.5,14.2,14.6,12.6,15.3,16.0,16.5,,0.7,1.9,1.9,2.0,2.3,2.8,Buy,Buy,3961.0,0.0104,-3.5333,0.9,57.1,20.1,1.27,
TIDE,Crimson Tide PLC,Technology,Software,£0.0185,,,,,,,,,,,,,1.6,2.0,,,Buy,Buy,-1.4,1.8104,0.0000,,-14,-4.4,0.22,
CRTM,Critical Metals PLC,Basic Materials,General Mining,£0.18,,,,,,,,,,,,,9.3,5.3,,,,,-0.3,0.0000,0.0000,,35.8,-18.3,0.76,
CRDA,Croda International PLC,Basic Materials,Chemicals - Diversified,£45.80,0.69047,0.40102,15.3,34.2,25.3,23.5,17.3,40.6,29.7,25.8,,4.6,2.7,8.1,2.3,2.5,Outperform,Outperform,449.8,0.0000,0.0000,0.5,-28.9,47.8,1.12,
CSSG,Croma Security Solutions Group PLC,Industrials,Professional Business Support Services,£0.495,0.54709,1.7913,22.0,5.8,19.8,,123.8,11.9,,,,,0.6,0.9,4.2,0.2,No Opinion,No Opinion,0.2,0.0000,6.3636,-0.9,-16.8,-2.1,0.16,
CRPR,Cropper (James) PLC,Basic Materials,Paper,£7.90,0.31497,0.3329,39.6,45.7,33.2,15.6,96.3,91.5,55.2,40.3,0.2,,2.4,3.4,0.8,1.4,No Opinion,No Opinion,2.7,-0.2232,0.0000,1.8,-20,-33.2,-0.00,
CCS,Crossword Cybersecurity PLC,Technology,Computer Services,£0.0975,,,,,,,,,,,,,2.0,7.2,,,No Opinion,No Opinion,-4.3,0.0267,0.0000,,-55.7,-1.8,0.16,
CRWN,Crown Place VCT PLC,Financials,Closed End Investments,£0.315,1.3215,2.144,,,,,15.0,5.7,,,,,0.9,0.9,5.4,1.2,,,0.0,0.0000,0.0000,,3.21,-34.1,-0.00,
CRS,Crystal Amber Fund Ltd,Financials,Closed End Investments,£0.65,2.8443,3.1865,,,,,6.2,2.7,,,,,0.4,0.7,30.8,0.5,,,0.0,0.0000,0.0000,,-10.7,-26.1,-0.11,
CTA,CT Automotive Group PLC,Consumer Discretionary,Auto Parts,£0.435,,,,,,4.0,,,,,,,10.4,4.0,,,Buy,Buy,-17.4,-4.3680,0.0000,,-65.2,-18.0,0.11,
CMPI,Ct Global Managed Portfolio Trust PLC,Financials,Closed End Investments,£1.13,,,,,,,,,,,,,0.7,0.7,,,,,0.0,-0.0018,0.0000,,-2.57,43.2,0.15,
CMPG,Ct Global Managed Portfolio Trust PLC,Financials,Closed End Investments,£2.23,,,,,,,,,,,,,1.3,1.3,,,,,0.0,,,,0.45,43.2,0.03,
CTPE,Ct Private Equity Trust PLC,Financials,Closed End Investments,£4.76,2.5385,4.0293,,,,,5.2,2.9,5.6,7.8,,,0.7,0.8,5.5,3.5,,,0.0,0.0000,0.0000,,28.9,-43.8,0.59,
CTPT,Ct Property Trust Ltd,,,£0.829,,,,,,,,,,,,,,,,,,,,-0.0086,0.0000,,12.3,,0.09,
CTUK,Ct UK Capital And Income Investment Trust PLC,Financials,Closed End Investments,£2.935,,3.0507,,,,,,3.5,,,,,1.1,1.0,4.0,,,,0.0,0.0000,0.0000,,11.5,28.5,1.02,
CHI,Ct UK High Income Trust PLC,Financials,Closed End Investments,£0.81,,0.87455,,,,,,41.4,,,,,0.9,0.9,7.0,,,,0.0,0.0000,0.0000,,12.4,30.7,0.37,
CHIB,Ct UK High Income Trust PLC,Financials,Closed End Investments,£0.805,,0.83136,,,,,,41.9,,,,,0.9,0.9,6.8,,,,0.0,,,,6.19,30.7,0.17,
CURY,Currys PLC,Consumer Discretionary,Specialty Retailers,£0.476,36.714,40.19,10.1,9.2,10.7,7.0,0.06,0.08,6.3,9.7,,,0.3,0.4,2.1,820.0,Hold,Hold,214.0,0.1640,6.2082,2.6,-18.2,-14.3,1.65,
CBP,Curtis Banks Group PLC,Financials,Asset Managers and Custodians,£3.49,0.59911,0.79602,,,,,18.7,15.7,16.2,,,1.5,3.4,2.2,0.7,7.5,No Opinion,Buy,404.7,0.0000,1.7385,-0.8,29.9,,0.16,
CZN,Curzon Energy PLC,Energy,Oil - Crude Producers,£0.00775,8.8796,,,,,,,,,,,,-0.3,,,,,,-0.5,0.0000,0.0000,,,-10.2,,
CREI,Custodian Reit PLC,Real Estate,Diversified REITs,£0.8245,1.3539,1.4031,,,,14.8,14.8,17.3,15.5,,,,0.8,0.9,6.7,1.0,No Opinion,No Opinion,0.0,0.0000,0.0246,,-3.46,45.3,0.63,
CVCE,CVC Income & Growth Ltd,Financials,Closed End Investments,€0.9,,1.7755,,,,,,11.5,,,,,0.9,0.8,9.3,,,,0.0,,,,14.8,17.7,0.15,
CVCG,CVC Income & Growth Ltd,Financials,Closed End Investments,£0.9925,,1.5582,,,,,,15.0,,,,,1.1,1.1,8.4,,,,0.0,0.0083,25.9148,,11.5,17.7,0.03,
CVSG,CVS Group PLC,Consumer Discretionary,Consumer Services - Misc.,£15.94,0.55283,0.4419,21.4,31.1,38.1,16.2,16.6,19.5,21.7,23.5,6.9,1.6,4.4,5.4,0.5,12.7,Buy,Outperform,61.3,-0.0266,6.0732,1.5,-7.19,53.1,0.45,
CYAN,Cyanconnode Holdings PLC,Telecommunications,Telecommunications Equipment,£0.1225,,,,,,,,,,,,,2.3,3.2,,,No Opinion,No Opinion,-2.1,-0.0635,1.6467,,6.52,-10.2,-0.09,
D4T4,D4t4 Solutions PLC,Technology,Computer Services,£1.75,0.61553,0.4796,21.9,52.9,26.6,17.1,22.7,37.0,24.5,20.3,0.7,4.4,2.5,3.3,1.7,2.5,Buy,Buy,2.4,0.1419,12.9673,-5.6,-18.1,3.9,0.17,
DAL,Dalata Hotel Group Ltd,Consumer Discretionary,Hotels and Motels,£3.73,1.6681,,13.1,97.6,,10.8,13.7,,,,0.5,,0.8,0.9,,,Buy,Buy,126.9,0.0176,-0.0161,4.1,38.2,17.0,0.36,
DAR,Dar Global PLC,Real Estate,Real Estate Holding and Development,$3.69,,,,,,,,,,,,,33.0,,,,,,-20.8,0.0000,0.0000,,,-26.4,,
DARK,Darktrace PLC,Technology,Software,£4.167,0.21205,0.045469,39.5,43.8,,45.8,56.4,>500,,,2.4,,13.5,8.0,,,Outperform,Outperform,82.5,-0.1275,8.0995,-2.2,32.8,32.0,1.30,
DVT,daVictus PLC,Consumer Discretionary,Restaurants and Bars,£0.0425,1.851,0.23904,1.5,,,,2.5,,,,,,2.6,-20.5,,,,,0.2,0.0000,0.0000,-0.9,113,2.1,-0.13,
DCC,DCC PLC,Industrials,Industrial Suppliers,£45.595,1.2045,1.1301,8.8,11.6,11.8,9.9,10.0,13.8,14.5,18.2,>10,2.3,1.5,2.0,4.1,2.4,Buy,Buy,655.7,0.0000,0.0000,1.5,1.75,15.6,1.15,
DLAR,De La Rue PLC,Industrials,Forms and Bulk Printing Services,£0.634,,1.5755,3.4,3.3,3.5,102.4,,8.5,,,,,6.4,1.5,,,Buy,Buy,84.9,0.2273,6.2581,2.0,-26.2,-18.9,0.67,
0MEL,Deceuninck NV,Industrials,Building Materials - Other,€2.135,0.86117,1.6371,13.5,11.4,47.1,,28.9,13.3,,,,,1.0,1.8,3.3,1.1,,,31.6,,,0.9,15.1,17.8,0.58,
DPH,Dechra Pharmaceuticals PLC,Health Care,Pharmaceuticals,£38.02,0.33971,0.44694,26.0,30.4,27.2,33.8,31.4,40.4,33.9,29.2,,3.4,6.2,7.5,1.2,2.7,Outperform,Outperform,174.3,-0.0059,43.8074,1.1,44.5,108.4,0.58,
DVRG,DeepVerge PLC,Consumer Staples,Personal Products,£0.0015,,,,,,,,,,,,,0.01,3.4,,,,,-3.2,0.0000,0.0000,,-98.2,-0.2,0.77,
DKL,Dekel Agri-Vision PLC,Consumer Staples,"Farming, Fishing, Ranching and Plantations",£0.027,,0.92203,104.6,26.0,,7.8,,56.5,,,,,1.1,1.9,,,No Opinion,No Opinion,0.5,-0.7269,0.0000,15.5,-3.57,-25.0,0.62,
ROO,Deliveroo Holdings PLC,Technology,Consumer Digital Services,£1.1985,,,,,,,,,,,,,2.5,3.6,,,Outperform,Outperform,-227.8,0.0000,5.3609,,36.5,-4.9,1.35,
DEMG,Deltex Medical Group PLC,Health Care,Medical Equipment,£0.00175,,,,,,,,,,,,,0.5,4.1,,,No Opinion,No Opinion,-0.9,31.7107,-0.2382,,-81.1,-3.6,0.79,
DELT,Deltic Energy PLC,Energy,Oil - Crude Producers,£0.26,,,,,,,,,,,,,1.0,2.7,,,Buy,Buy,-2.6,0.0000,0.0000,,-59.7,-0.9,0.53,
DLN,Derwent London PLC,Real Estate,Office REITs,£18.515,1.5975,1.5631,,18.3,,17.6,17.3,31.5,28.9,36.5,,,0.5,0.9,4.3,1.4,Outperform,Outperform,-249.7,0.0000,-4.7755,,-2.84,-74.5,1.08,
DEST,Destiny Pharma PLC,Health Care,Biotechnology,£0.48,,,,,,,,,,,,,4.6,8.4,,,Hold,Buy,-7.8,2.2837,0.0000,,33.3,-7.0,0.51,
DVNO,Develop North PLC,Financials,Closed End Investments,£0.815,0.72554,0.93146,,,,,42.9,25.3,,,,,1.0,1.0,4.9,0.5,,,0.0,0.0000,0.0000,,-0.581,43.2,0.03,
DVNO,Develop North PLC,,,£0.815,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVO,Devolver Digital Inc,Technology,Software,£0.255,,,,,,,,,,,,,0.7,4.9,,,Buy,Outperform,-98.6,0.0000,0.0000,-5.7,-65.5,-16.3,0.16,
DWHA,Dewhurst PLC,Technology,Electronic Components,£5.80,1.9089,1.5991,4.3,5.5,6.9,,7.7,10.4,13.1,13.1,,0.4,0.8,1.0,2.5,5.1,,,9.1,0.0000,0.0000,-1.8,4.47,23.7,0.02,
DWHT,Dewhurst PLC,Technology,Electronic Components,£8.25,1.342,0.87718,4.3,20.4,12.8,,10.9,32.1,23.2,22.6,,1.2,1.1,3.0,1.8,5.1,No Opinion,No Opinion,9.1,0.0000,0.0000,-1.8,-18.4,23.7,0.19,
DFS,DFS Furniture PLC,Consumer Discretionary,Household Equipment and Products,£1.09,1.3483,1.6804,12.4,10.8,,10.8,11.4,9.3,,,2.2,,1.1,1.5,4.2,2.1,Outperform,Outperform,65.1,0.0514,8.1725,3.5,-3.71,-93.5,1.18,
DGI,DG Innovate PLC,Energy,Offshore Drilling and Other Services,£0.000425,,0,,,,,,,,,,,0.7,8.5,,,No Opinion,No Opinion,-2.7,0.0000,3.8241,,-76.4,-1.4,0.27,
DXRX,Diaceutics PLC,Health Care,Health Care Services,£1.05,2.9096,2.9785,102.6,123.0,,,1.3,1.5,,,,0.06,2.1,2.1,,,Buy,Buy,0.7,0.0011,0.0000,-5.2,17.3,610.3,0.35,
DGE,Diageo PLC,Consumer Staples,Distillers and Vintners,£30.1575,0.33515,0.24692,16.3,19.5,21.7,18.2,18.5,23.3,24.4,23.0,9.1,3.0,8.7,10.3,2.6,2.0,Outperform,Outperform,5193.0,0.0059,-0.0006,2.5,-19,48.6,0.63,
DSI,Dial Square Investments PLC,,,£0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,
DIA,Dialight PLC,Industrials,Electronic Equipment - Other,£1.685,0.46559,0.25681,17.1,30.2,,,133.3,366.7,,,,>10,0.8,1.8,,,No Opinion,Hold,5.0,-0.0103,0.0000,2.6,-28.3,-17.5,0.03,
DNM,Dianomi PLC,Consumer Discretionary,Publishing,£0.48,0.89283,0.67205,2.6,1347.0,674.8,,20.9,55.3,,,,,1.2,12.5,,,Buy,Buy,1.2,0.0000,0.8609,-7.3,-57.3,3.1,0.33,
DGI9,Digital 9 Infrastructure PLC,Financials,Closed End Investments,£0.4055,3.0513,2.1738,,,,4.1,5.0,11.6,,,0.2,0.9,0.5,1.1,10.8,1.9,Hold,Hold,0.0,0.0000,0.0000,,-52.5,-82.0,0.70,
DBOX,Digitalbox PLC,Financials,Investment Services,£0.035,3.8695,0.98706,30.5,13.3,,35.0,5.0,29.0,,,,0.2,0.3,0.8,,,Buy,Buy,0.05,0.0000,0.0000,-2.3,-60,2.2,-0.10,
DSG,Dillistone Group PLC,Technology,Software,£0.14,,0.53312,,,,46.7,,105.0,,,,,0.9,1.2,,,No Opinion,No Opinion,-0.3,0.0000,0.0000,1.7,-15.2,-69.8,0.20,
DPLM,Diploma PLC,Industrials,Industrial Suppliers,£29.57,0.38156,0.38291,30.8,36.8,29.8,24.0,27.5,33.4,30.2,24.8,1.9,1.3,5.6,6.6,1.8,2.0,Outperform,Outperform,141.9,0.0004,-0.9148,2.4,27.6,44.3,1.10,
DLG,Direct Line Insurance Group PLC,Financials,Property and Casualty Insurance,£1.769,,2.1005,,7.1,,24.1,,9.6,,,,,1.0,1.3,4.3,,Outperform,Outperform,-24.2,0.0001,-0.1446,,-0.45,2.7,0.95,
DCTA,Directa Plus PLC,Basic Materials,Specialty Chemicals,£0.48,,,,,,,,,,,,,3.9,8.6,,,Buy,Buy,-5.2,0.0000,0.0000,,-44.8,-7.1,0.43,
DSCV,Discoverie Group PLC,Industrials,Electrical Components,£6.63,0.75034,0.67136,19.2,37.7,24.9,18.4,18.7,26.8,21.2,18.7,>10,1.4,2.1,2.6,1.7,3.1,Outperform,Outperform,36.2,0.0029,0.1101,1.0,1.12,25.9,0.76,
DISP,Dispensa Group PLC,Consumer Staples,Nondurable Household Products,£0.0375,,0,,,,,,,,,,,1.5,,,,,,-1.2,0.0000,0.0000,,-65.9,-70.0,-0.06,
DIS,Distil PLC,Consumer Staples,Distillers and Vintners,£0.00475,,0,,,,,,,,,,,0.5,1.1,,,No Opinion,No Opinion,-0.8,0.0000,0.0000,-0.9,-54.8,-2.5,-1.33,
NBDD,Distressed Debt Investment Fund Ltd,Financials,Closed End Investments,$0.725,1.9159,1.8267,,,,,7.6,8.5,,,,0.9,0.8,0.8,,,,,0.0,0.0000,0.0000,,0.346,1.1,-0.04,
DFCH,Distribution Finance Capital Holdings PLC,Financials,Mortgage Finance,£0.29,2.679,,,,,10.9,5.8,,,,,,0.5,1.0,,,Buy,Buy,0.0,0.0000,0.5384,,5.45,-105.2,-0.03,
DIVI,Diverse Income Trust (The) PLC,Financials,Closed End Investments,£0.801,,,,,,,,,,,,,0.9,0.9,5.0,,,,0.0,0.0221,-0.0001,,-2.12,17.8,0.67,
DEC,Diversified Energy Company PLC,Energy,Oil - Crude Producers,£0.81525,,1.4482,2.1,4.9,18.4,5.3,1.0,7.4,5.6,,,0.02,-5.5,1.9,17.2,5.5,Buy,Buy,1138.6,-0.3439,0.0000,2.9,-25,12.1,1.07,
DCI,Dolphin Capital Investors Ltd,Real Estate,Real Estate Holding and Development,£0.048,,1.6105,,,,,,51.1,,,,,0.4,0.4,,,No Opinion,No Opinion,0.0,0.0525,-3.2040,,47.7,-3.7,-0.19,
DOM,Domino's Pizza Group PLC,Consumer Discretionary,Restaurants and Bars,£3.74,,,18.4,20.7,17.0,20.9,20.1,22.7,18.4,21.5,,,-14.1,-35.1,2.7,1.9,Outperform,Outperform,109.8,-10.8812,4.6365,3.7,69.1,61.7,0.61,
DNA3,Doric Nimrod Air Three Ltd,Industrials,Transportation Services,£0.48,2.0585,0.55864,3.1,13.6,,,3.6,35.0,,,,0.03,1.5,1.5,17.2,1.6,,,37.9,-0.0844,2.7393,,16,1.8,0.17,
DNA2,Doric Nimrod Air Two Ltd,Industrials,Commercial Vehicle-Equipment Leasing,£0.955,3.2275,,,,,,2.6,,,,,,0.8,0.8,18.8,2.0,,,0.0,-0.0434,0.0000,,24,1.4,0.04,
DOTD,Dotdigital Group PLC,Technology,Consumer Digital Services,£0.7815,0.58889,0.49956,13.4,47.3,25.8,19.0,19.0,56.3,30.9,26.6,>10,,3.3,11.3,1.3,4.2,Buy,Buy,14.7,0.0000,6.9482,-1.9,-8.31,13.9,0.61,
DWL,Dowlais Group PLC,Consumer Discretionary,Auto Parts,£1.07775,0,,70.4,,,7.5,,,,,,,,,,,Outperform,Outperform,42.0,0.0000,-2.2969,2.0,,105.5,,
DORE,Downing Renewables & Infrastructure Trust PLC,Financials,Asset Managers and Custodians,£0.846,2.9142,0,,,,10.4,4.2,11.0,,,,0.09,0.7,,5.8,4.1,Hold,Hold,0.0,0.0357,0.0000,,-21.2,21.5,0.05,
DSM,Downing Strategic Micro-Cap Investment Trust PLC,Financials,Closed End Investments,£0.5925,,1.705,,,,,,15.5,,,,,0.8,0.9,,,,,0.0,0.0000,0.3128,,7.34,-19.9,0.23,
DPA,DP Aircraft Ltd,Industrials,Aerospace,$0.06,6.6187,,,,,,1.7,,,,,,0.3,0.09,,,,,0.0,0.0000,0.0000,,33.3,75.3,-0.07,
DPEU,DP Eurasia NV,Consumer Discretionary,Restaurants and Bars,£0.7325,,10.062,10.2,9.3,66.7,8.5,>500,31.7,,,,,-120.5,9.6,,,Buy,Buy,415.2,-0.0634,0.0273,2.0,74.6,716.3,0.09,
DPP,DP Poland PLC,Consumer Discretionary,Restaurants and Bars,£0.0685,,,,,,,,,,,,,2.6,2.4,,,Buy,Buy,-2.5,1.3523,0.0000,6.6,-10.5,-17.7,-0.16,
DOCS,Dr. Martens PLC,Consumer Discretionary,Footwear,£1.404,0.77877,0.47639,9.2,11.2,15.2,13.1,10.8,13.7,,,,,3.4,7.3,4.2,2.2,Outperform,Outperform,180.8,0.0455,6.9792,1.2,-38.5,-122.3,1.59,
0ABA,Draftkings Inc,Consumer Discretionary,Casinos and Gambling,$28.715,,,,,,,,,,,,,9.8,,,,,,-1541.2,,,,84.4,-18.6,1.10,
DRX,Drax Group PLC,Utilities,Conventional Electricity,£4.2595,1.7792,0.60429,13.3,18.6,18.5,3.8,5.2,28.1,19.3,62.3,0.1,0.10,1.3,1.9,4.9,3.9,Outperform,Outperform,244.5,0.0111,0.0000,2.2,-29.7,216.5,0.59,
DRV,Driver Group PLC,Industrials,Professional Business Support Services,£0.26,,1.4596,,11.3,,,,21.5,,,,,0.8,1.3,5.8,,No Opinion,No Opinion,-2.3,0.0000,0.0000,,-12.7,-13.0,0.19,
SMDS,DS Smith PLC,Industrials,Containers and Packaging,£2.778,1.8928,1.7506,7.6,14.1,15.3,8.4,6.6,10.8,11.0,12.8,,0.3,0.9,1.1,6.4,2.4,Outperform,Outperform,737.0,0.0219,2.1349,1.4,16.9,26.0,1.16,
DSW,DSW Capital PLC,Industrials,Professional Business Support Services,£0.555,1.1514,0.91011,10.4,131.2,70.8,11.3,11.1,10.7,,,,,1.5,2.9,6.8,1.3,No Opinion,No Opinion,0.8,-0.3848,15.5025,-2.8,-47.3,7.7,-0.16,
DUKE,Duke Royalty Ltd,Financials,Asset Managers and Custodians,£0.335,15.974,18.16,,,,8.6,0.1,0.1,9.8,,,,0.8,1.1,8.3,111.8,Buy,Buy,0.0,0.7543,0.0000,,16.5,14.3,0.07,
DKE,Dukemount Capital PLC,Real Estate,Real Estate Holding and Development,£0.0013,6.2138,6.3685,,,,,,,,,,,,-5.4,,,,,-0.3,0.0000,0.0000,,6.12,-1.3,-1.96,
DNE,Dunedin Enterprise Investment Trust PLC,Financials,Closed End Investments,£5.475,1.2385,2.4017,,,,,7.5,3.0,,,,,0.9,0.8,10.8,1.2,,,0.0,0.0000,0.0000,,18.6,4.6,0.04,
DIG,Dunedin Income Growth Inv Trust PLC,Financials,Closed End Investments,£2.66,0.42597,1.529,,,,,140.5,13.0,,,,,0.9,1.0,4.9,0.1,,,0.0,0.0000,0.0000,,4.22,25.0,1.07,
DNLM,Dunelm Group PLC,Consumer Discretionary,Home Improvement Retailers,£10.395,0.32566,0.54938,11.9,9.0,15.4,14.0,13.9,9.8,18.5,17.3,,,15.2,9.3,4.0,1.8,Outperform,Outperform,200.2,0.0000,0.0000,1.0,52.1,14.9,1.19,
DWF,DWF Group Ltd,Industrials,Professional Business Support Services,£0.995,0.71935,0.72687,22.5,15.4,,8.3,9.7,10.3,15.1,,0.6,,4.7,6.7,1.6,6.4,Outperform,Outperform,22.8,0.0000,8.6703,2.5,14.9,83.2,0.18,
DX.,DX Group PLC,Industrials,Delivery Services,£0.4175,0.56695,0.54667,13.7,17.5,,12.1,14.4,15.8,,,0.7,0.4,4.3,4.5,,,Buy,Buy,23.7,0.0000,-3.3929,1.5,40.8,31.9,0.18,
ETX,e-Therapeutics PLC,Health Care,Biotechnology,£0.13,,,,,,,,,,,,,2.3,6.2,,,No Opinion,No Opinion,-9.7,0.0058,0.0000,,-26,-5.6,0.03,
EYE,Eagle Eye PLC,Technology,Consumer Digital Services,£5.30,0.15068,0.06257,,180.9,,39.8,143.2,271.1,,,0.6,2.9,6.5,15.9,,,Buy,Buy,-0.6,0.0000,0.0000,-2.1,-5.36,23.1,-0.02,
EISB,East Imperial PLC,Consumer Staples,Soft Drinks,£0.0235,,,,,,,,,,,,,2.5,9.4,,,No Opinion,No Opinion,-3.5,-0.0148,-0.7565,,-7.84,-2.4,0.43,
EST,East Star Resources PLC,Financials,Diversified Financial Services,£0.017,,,,,,,,,,,,,0.8,1.9,,,,,-1.4,0.0000,0.0000,,-65.3,-1.0,-0.14,
EZJ,easyJet PLC,Consumer Discretionary,Airlines,£4.106,,,1323.3,,,8.6,,,,,,,1.3,1.9,,,Outperform,Outperform,3.0,0.0030,0.0000,1.6,38.2,99.2,1.38,
EBQ,Ebiquity PLC,Consumer Discretionary,Media Agencies,£0.46,1.1381,0.81724,,,,7.8,10.2,18.5,,,0.3,0.3,1.5,1.8,,,Buy,Buy,-5.9,0.0000,0.0000,18.0,-6.12,-41.7,0.13,
ECHO,Echo Energy PLC,Energy,Oil - Crude Producers,£0.00028,262.13,47.685,,,,,,,,,,,-0.0,-0.3,,,No Opinion,No Opinion,-8.4,0.0000,3.0800,,-89,-18.0,0.30,
ECK,Eckoh PLC,Technology,Software,£0.41,0.61857,0.47746,22.8,45.1,44.4,20.5,19.8,28.8,47.3,96.7,,0.5,2.9,2.7,1.8,2.8,Buy,Buy,5.1,0.0000,3.7536,-0.5,3.06,23.0,0.48,
ECO,Eco (Atlantic) Oil & Gas Ltd,Energy,Offshore Drilling and Other Services,£0.11125,,,,,,,,,,,,,1.0,2.4,,,Buy,Buy,-40.8,-6.2740,3.0393,,-62.3,-1.3,0.54,
EAH,Eco Animal Health Group PLC,Health Care,Pharmaceuticals,£1.13,0.52284,0.35593,14.1,29.2,21.1,45.1,75.3,202.5,77.8,56.2,1.1,2.3,0.9,1.3,,,Buy,Buy,5.1,0.0030,0.0000,-2.4,-6.61,7.6,0.24,
ECOB,Eco Buildings Group PLC,,,£0.255,,,,,,,,,,,,,,,,,,,,,,,-53.6,,0.09,
EGL,Ecofin Global Utilities And Infrustructure Trust PLC,Financials,Asset Managers and Custodians,£1.655,1.8098,1.8233,,,,,9.3,5.4,,,,,0.8,1.0,4.4,2.4,Buy,Buy,0.0,0.0015,-0.6820,,-21.6,38.6,0.63,
